id,title,genres,averageRating,numVotes,releaseYear
tt0114814,"The Usual Suspects","Crime, Drama, Mystery",8.5,1180385,1995
tt2582802,Whiplash,"Drama, Music",8.5,1054298,2014
tt6751668,Parasite,"Drama, Thriller",8.5,1037432,2019
tt0078748,Alien,"Horror, Sci-Fi",8.5,1005637,1979
tt1675434,"The Intouchables","Comedy, Drama",8.5,967403,2011
tt0253474,"The Pianist","Biography, Drama, Music",8.5,956487,2002
tt0054215,Psycho,"Horror, Mystery, Thriller",8.5,745934,1960
tt0034583,Casablanca,"Drama, Romance, War",8.5,626328,1942
tt15239678,"Dune: Part Two","Action, Adventure, Drama",8.5,600207,2024
tt10811166,"The Kashmir Files",Drama,8.5,575911,2022
tt0047396,"Rear Window","Drama, Mystery, Thriller",8.5,541470,1954
tt9362722,"Spider-Man: Across the Spider-Verse","Action, Adventure, Animation",8.5,437736,2023
tt0064116,"Once Upon a Time in the West","Drama, Western",8.5,364332,1968
tt0095327,"Grave of the Fireflies","Animation, Drama, War",8.5,340077,1988
tt0095765,"Cinema Paradiso","Drama, Romance",8.5,297860,1988
tt0027977,"Modern Times","Comedy, Drama, Romance",8.5,270248,1936
tt0021749,"City Lights","Comedy, Drama, Romance",8.5,205037,1931
tt1424432,Senna,"Biography, Documentary, Sport",8.5,79920,2010
tt20850406,"Sita Ramam","Action, Drama, Mystery",8.5,74379,2022
tt27719898,Kaiva,"Action, Drama, Romance",8.5,68958,2023
tt1152758,"Dear Zachary: A Letter to a Son About His Father","Biography, Crime, Documentary",8.5,42649,2008
tt0103767,Baraka,Documentary,8.5,41872,1992
tt7019842,96,"Drama, Romance",8.5,40594,2018
tt11580854,"Sarpatta Parambarai","Action, Drama, Sport",8.5,26529,2021
tt0346336,"The Best of Youth","Drama, Romance",8.5,25014,2003
tt24082438,"20 Days in Mariupol","Documentary, War",8.5,24763,2023
tt8948790,Jersey,"Drama, Sport",8.5,24292,2019
tt1014762,Home,"Documentary, Family",8.5,23240,2009
tt0253997,"The King of the Street Cleaners",Comedy,8.5,22054,1977
tt0054407,"The Hole","Crime, Drama, Thriller",8.5,21564,1960
tt0079221,"Gol Maal","Comedy, Romance",8.5,21025,1979
tt8413338,"Kumbalangi Nights","Comedy, Drama, Romance",8.5,19541,2019
tt0263975,"The Girl with the Red Scarf","Drama, Romance",8.5,17443,1977
tt0101649,Thalapathi,"Action, Crime, Drama",8.5,14105,1991
tt9617456,"For Sama","Biography, Documentary, War",8.5,13256,2019
tt0253991,Zübük,Comedy,8.5,11587,1980
tt11281220,"Intoxicated by Love","Drama, History, Romance",8.5,11465,2024
tt0053114,"The Human Condition I: No Greater Love","Drama, History, War",8.5,10007,1959
tt1345836,"The Dark Knight Rises","Action, Drama, Thriller",8.4,1894796,2012
tt0361748,"Inglourious Basterds","Adventure, Drama, War",8.4,1659403,2009
tt0209144,Memento,"Mystery, Thriller",8.4,1366557,2000
tt4154796,"Avengers: Endgame","Action, Adventure, Sci-Fi",8.4,1334734,2019
tt4154756,"Avengers: Infinity War","Action, Adventure, Sci-Fi",8.4,1268337,2018
tt0910970,WALL·E,"Adventure, Animation, Family",8.4,1247620,2008
tt0081505,"The Shining","Drama, Horror",8.4,1155550,1980
tt0082971,"Raiders of the Lost Ark","Action, Adventure",8.4,1066266,1981
tt0090605,Aliens,"Action, Adventure, Horror",8.4,802346,1986
tt0078788,"Apocalypse Now","Drama, Mystery, War",8.4,735255,1979
tt4633694,"Spider-Man: Into the Spider-Verse","Action, Adventure, Animation",8.4,717517,2018
tt2380307,Coco,"Adventure, Animation, Drama",8.4,637883,2017
tt1187043,"3 Idiots","Comedy, Drama",8.4,453186,2009
tt0086879,Amadeus,"Biography, Drama, Music",8.4,444525,1984
tt0405094,"The Lives of Others","Drama, Mystery, Thriller",8.4,424361,2006
tt5311514,"Your Name.","Animation, Drama, Fantasy",8.4,348253,2016
tt0082096,"Das Boot","Drama, War",8.4,277074,1981
tt0032553,"The Great Dictator","Comedy, Drama, War",8.4,246964,1940
tt0043014,"Sunset Boulevard","Drama, Film-Noir",8.4,246686,1950
tt0050825,"Paths of Glory","Drama, War",8.4,223873,1957
tt0051201,"Witness for the Prosecution","Crime, Drama, Mystery",8.4,147670,1957
tt8267604,Capernaum,Drama,8.4,113927,2018
tt26548265,Maharaja,"Action, Crime, Drama",8.4,63845,2024
tt0057565,"High and Low","Crime, Drama, Mystery",8.4,58474,1963
tt1313104,"The Cove","Biography, Crime, Documentary",8.4,52139,2009
tt21626284,"Lost Ladies","Comedy, Drama",8.4,49243,2023
tt9900782,Kaithi,"Action, Crime, Thriller",8.4,45855,2019
tt12361178,"Drishyam 2","Crime, Drama, Mystery",8.4,42541,2021
tt0770802,Samsara,"Documentary, Music",8.4,38835,2011
tt9477520,Asuran,"Action, Drama",8.4,35275,2019
tt3674140,"The Salt of the Earth","Biography, Documentary, History",8.4,24257,2014
tt0058625,"Woman in the Dunes","Drama, Thriller",8.4,23876,1964
tt0416960,"The Lizard","Comedy, Drama",8.4,23318,2004
tt0400234,"Black Friday","Action, Crime, Drama",8.4,22525,2004
tt4987556,"Thani Oruvan","Action, Crime, Drama",8.4,22469,2015
tt5959980,"Vada Chennai","Action, Crime, Drama",8.4,21012,2018
tt28459771,"Oficina do Diabo",Drama,8.4,19308,2025
tt0052572,"The World of Apu",Drama,8.4,17473,1959
tt7465992,Mahanati,"Biography, Drama",8.4,15565,2018
tt0059550,"Operation 'Y' & Other Shurik's Adventures","Comedy, Crime, Drama",8.4,15500,1965
tt0073000,"The Pinchcliffe Grand Prix","Animation, Comedy, Family",8.4,14718,1975
tt0314067,Philanthropy,"Comedy, Drama",8.4,14202,2002
tt26758372,Meiyazhagan,"Drama, Family",8.4,13013,2024
tt4991384,Visaaranai,"Crime, Drama, Thriller",8.4,12780,2015
tt12415546,"Attack on Titan: Chronicle","Action, Adventure, Animation",8.4,12260,2020
tt0184756,"Mr. Muhsin","Comedy, Drama, Music",8.4,12237,1987
tt0383846,"When I Grow Up, I'll Be a Kangaroo",Comedy,8.4,11875,2004
tt7286456,Joker,"Crime, Drama, Thriller",8.3,1587860,2019
tt0169547,"American Beauty",Drama,8.3,1240883,1999
tt1049413,Up,"Adventure, Animation, Comedy",8.3,1168993,2009
tt0086190,"Star Wars: Episode VI - Return of the Jedi","Action, Adventure, Fantasy",8.3,1154740,1983
tt0338013,"Eternal Sunshine of the Spotless Mind","Drama, Romance, Sci-Fi",8.3,1124599,2004
tt0105236,"Reservoir Dogs","Crime, Thriller",8.3,1123405,1992
tt0119217,"Good Will Hunting","Drama, Romance",8.3,1123162,1997
tt0112573,Braveheart,"Biography, Drama, War",8.3,1121633,1995
tt0114709,"Toy Story","Adventure, Animation, Comedy",8.3,1111161,1995
tt0086250,Scarface,"Crime, Drama",8.3,953495,1983
tt0180093,"Requiem for a Dream",Drama,8.3,930465,2000
tt0435761,"Toy Story 3","Adventure, Animation, Comedy",8.3,923052,2010
tt15398776,Oppenheimer,"Biography, Drama, History",8.3,855556,2023
tt0211915,Amélie,"Comedy, Romance",8.3,813463,2001
tt0113277,Heat,"Action, Crime, Drama",8.3,747166,1995
tt0062622,"2001: A Space Odyssey","Adventure, Sci-Fi",8.3,746477,1968
tt0364569,Oldboy,"Action, Drama, Mystery",8.3,669593,2003
tt0057012,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Comedy, War",8.3,534375,1964
tt0033467,"Citizen Kane","Drama, Mystery",8.3,478004,1941
tt0119698,"Princess Mononoke","Adventure, Animation, Fantasy",8.3,453964,1997
tt0052357,Vertigo,"Mystery, Romance, Thriller",8.3,441417,1958
tt0087843,"Once Upon a Time in America","Crime, Drama",8.3,391426,1984
tt2106476,"The Hunt",Drama,8.3,383416,2012
tt0053125,"North by Northwest","Adventure, Drama, Mystery",8.3,358124,1959
tt0056592,"To Kill a Mockingbird","Crime, Drama",8.3,341195,1962
tt0056172,"Lawrence of Arabia","Adventure, Biography, Drama",8.3,326217,1962
tt0070735,"The Sting","Comedy, Crime, Drama",8.3,287953,1973
tt0045152,"Singin' in the Rain","Comedy, Musical, Romance",8.3,270202,1952
tt1832382,"A Separation",Drama,8.3,267078,2011
tt5074352,Dangal,"Action, Biography, Drama",8.3,222335,2016
tt1255953,Incendies,"Drama, Mystery, War",8.3,222225,2010
tt0986264,"Like Stars on Earth","Drama, Family",8.3,215271,2007
tt0053604,"The Apartment","Comedy, Drama, Romance",8.3,206583,1960
tt0017136,Metropolis,"Drama, Sci-Fi",8.3,192580,1927
tt0040522,"Bicycle Thieves",Drama,8.3,183331,1948
tt0022100,M,"Crime, Mystery, Thriller",8.3,175403,1931
tt0036775,"Double Indemnity","Crime, Drama, Film-Noir",8.3,173323,1944
tt8110330,"Dil Bechara","Comedy, Drama, Romance",8.3,135959,2020
tt10295212,Shershaah,"Action, Biography, Drama",8.3,131856,2021
tt8503618,Hamilton,"Biography, Drama, History",8.3,125125,2020
tt0091251,"Come and See","Drama, Thriller, War",8.3,109117,1985
tt0044741,Ikiru,Drama,8.3,94970,1952
tt0055031,"Judgment at Nuremberg","Drama, War",8.3,89977,1961
tt9179430,Vikram,"Action, Crime, Thriller",8.3,79816,2022
tt9052870,Chhichhore,"Comedy, Drama, Romance",8.3,67166,2019
tt7060344,Raatchasan,"Crime, Mystery, Thriller",8.3,53206,2018
tt10280296,"Sardar Udham","Crime, Drama, History",8.3,48775,2021
tt3417422,Drishyam,"Crime, Drama, Mystery",8.3,45458,2013
tt0019760,"Man with a Movie Camera",Documentary,8.3,28962,1929
tt0110057,"Hoop Dreams","Documentary, Drama, Sport",8.3,28639,1994
tt7681902,"Won't You Be My Neighbor?","Biography, Documentary, History",8.3,27556,2018
tt4679210,Premam,"Comedy, Drama, Romance",8.3,25193,2015
tt3668162,"Bangalore Days","Comedy, Drama, Romance",8.3,23966,2014
tt0376127,Anniyan,"Action, Crime, Drama",8.3,22883,2005
tt0058888,"Red Beard",Drama,8.3,22069,1965
tt9098872,"The Rescue","Action, Documentary, Mystery",8.3,21888,2021
tt0037674,"Children of Paradise","Drama, Romance",8.3,21722,1945
tt0110081,"To Live","Drama, War",8.3,21242,1994
tt4908644,"Winter on Fire: Ukraine's Fight for Freedom","Documentary, History, War",8.3,21013,2015
tt0050634,"The Cranes Are Flying","Drama, Romance, War",8.3,20885,1957
tt0047445,"Sansho the Bailiff",Drama,8.3,18896,1954
tt13391710,"Jana Gana Mana","Drama, Thriller",8.3,18636,2022
tt10214826,"Agent Sai Srinivasa Athreya","Comedy, Crime, Mystery",8.3,17839,2019
tt0062759,"The Diamond Arm","Adventure, Comedy, Crime",8.3,16970,1969
tt5312232,Sairat,"Drama, Romance",8.3,15276,2016
tt0085743,"Jaane Bhi Do Yaaro","Comedy, Crime, Drama",8.3,15043,1983
tt0061847,"Samurai Rebellion",Drama,8.3,14724,1967
tt5867800,Aruvi,Drama,8.3,14707,2016
tt3521134,"The Look of Silence","Biography, Documentary, History",8.3,14294,2014
tt0060584,"Kidnapping, Caucasian Style","Adventure, Comedy, Drama",8.3,14175,1967
tt0252591,"King of the Doormen",Comedy,8.3,14170,1976
tt9006564,2018,"Action, Drama, Thriller",8.3,13967,2023
tt2358592,Lucia,"Drama, Sci-Fi, Thriller",8.3,13578,2013
tt0072783,"Chupke Chupke","Comedy, Drama, Romance",8.3,13515,1975
tt0068519,"Gentlemen of Fortune","Comedy, Crime, Drama",8.3,13474,1971
tt2877108,"Soodhu Kavvum","Comedy, Crime, Thriller",8.3,12287,2013
tt0252619,"From the Village to the City",Comedy,8.3,12253,1974
tt0139876,Baasha,"Action, Crime, Drama",8.3,12012,1995
tt8652818,"Violet Evergarden: The Movie","Animation, Drama, Fantasy",8.3,11758,2020
tt18568902,"Kaun Pravin Tambe?","Biography, Drama, Sport",8.3,11417,2022
tt0179955,"Cat City","Adventure, Animation, Comedy",8.3,11112,1986
tt4851630,"Maheshinte Prathikaaram","Comedy, Drama",8.3,11031,2016
tt0301634,"Frozen Stiff","Comedy, Drama",8.3,10485,2002
tt11396310,"Viduthalai: Part 1","Action, Crime, Drama",8.3,10408,2023
tt0993846,"The Wolf of Wall Street","Biography, Comedy, Crime",8.2,1661917,2013
tt0372784,"Batman Begins","Action, Drama",8.2,1631535,2005
tt1130884,"Shutter Island","Drama, Mystery, Thriller",8.2,1529407,2010
tt0120382,"The Truman Show","Comedy, Drama",8.2,1260996,1998
tt0266697,"Kill Bill: Vol. 1","Action, Crime, Thriller",8.2,1238437,2003
tt0266543,"Finding Nemo","Adventure, Animation, Comedy",8.2,1149231,2003
tt0477348,"No Country for Old Men","Crime, Drama, Thriller",8.2,1108568,2007
tt0107290,"Jurassic Park","Action, Adventure, Sci-Fi",8.2,1107413,1993
tt0167404,"The Sixth Sense","Drama, Mystery, Thriller",8.2,1089390,1999
tt0268978,"A Beautiful Mind","Biography, Drama, Mystery",8.2,1014656,2001
tt0095016,"Die Hard","Action, Thriller",8.2,983004,1988
tt0075314,"Taxi Driver","Crime, Drama",8.2,966830,1976
tt0208092,Snatch,"Comedy, Crime",8.2,938067,2000
tt10872600,"Spider-Man: No Way Home","Action, Adventure, Fantasy",8.2,935086,2021
tt0066921,"A Clockwork Orange","Crime, Sci-Fi",8.2,905009,1971
tt1392214,Prisoners,"Crime, Drama, Mystery",8.2,857922,2013
tt0097576,"Indiana Jones and the Last Crusade","Action, Adventure",8.2,832631,1989
tt0093058,"Full Metal Jacket","Drama, War",8.2,814866,1987
tt1745960,"Top Gun: Maverick","Action, Drama",8.2,758538,2022
tt0457430,"Pan's Labyrinth","Drama, Fantasy, War",8.2,719944,2006
tt8579674,1917,"Action, Drama, War",8.2,717228,2019
tt0469494,"There Will Be Blood",Drama,8.2,663813,2007
tt0119488,"L.A. Confidential","Crime, Drama, Mystery",8.2,636612,1997
tt6966692,"Green Book","Biography, Comedy, Drama",8.2,622472,2018
tt0112641,Casino,"Crime, Drama",8.2,586003,1995
tt0071853,"Monty Python and the Holy Grail","Adventure, Comedy, Fantasy",8.2,583663,1975
tt0084787,"The Thing","Horror, Mystery, Sci-Fi",8.2,491646,1982
tt0347149,"Howl's Moving Castle","Adventure, Animation, Family",8.2,475722,2004
tt0105695,Unforgiven,"Drama, Western",8.2,449483,1992
tt0363163,Downfall,"Biography, Drama, History",8.2,385466,2004
tt0031381,"Gone with the Wind","Drama, Romance, War",8.2,343647,1939
tt0053291,"Some Like It Hot","Comedy, Music, Romance",8.2,292394,1959
